gene_accession,UK047D1T0,PT125H2T1,UK044D2T0,UK015H1T0,PT114D1T0,PT120D1T1,PT218D1T1,UK031D1T0,UK034H1T0,PT021D2T0,PT015H2T0,UK018D1T0,UK018H1T0,PT120D1T0,PT218H1T0,UK028D1T0,PT221D1T1,PT023H2T0,PT015H4T0,UK036H1T0,PT051H1T0,PT120H1T0,PT114H1T0,PT114D1T1,PT024D1T0,PT021H2T0,UK002H2T0,UK014D1T0,PT221H1T1,PT120D2T0,UK008D1T0,UK008H1T0,PT205H4T1,PT012D1T0,PT017D1T0,UK012H1T0,PT120H1T1,UK031H1T0,UK038D2T0,UK026D1T0,PT125D1T0,PT218D1T0,UK020D1T0,PT054H1T0,PT221D1T0,PT014D1T0,UK015D1T0,PT120H2T0,PT010D1T0,PT053H1T0,UK014H2T0,UK033H1T0,PT024D1T0B,UK019H2T0,UK036D1T0,UK053D1T0,PT026D1T0,PT205H2T0,UK053H1T0,PT046D1T0,PT120D3T1,PT021D1T0,PT114H2T1,PT221H2T1,PT052H1T0,PT051D1T0,PT131H2T0,UK026H1T0,UK019H1T0,PT131D1T0,PT050D1T0,UK002H1T0,UK034D1T0,PT131D1T1,UK005D1T0,PT019H2T0,PT019D1T0,PT019D1T0B,PT131H1T0,PT012H1T0,UK047D1T0B,PT051D3T0,PT205H4T0,UK044D1T0,UK036D1T0B,UK002D1T0,PT015D1T0,PT046H1T0,PT023H1T0,PT054D1T0,PT125H1T1,UK014H1T0,PT125D1T1,PT015H3T0,UK015H2T0,PT010H1T0,PT218H1T1,PT015H1T0,PT010H2T0,PT125H2T0,PT051D2T0,PT114H1T1,UK019D1T0,PT014H1T0,PT120D3T0,PT114H2T0,UK014D1T0B,PT221H2T0,PT131H1T1,PT118H1T1,PT024H1T0,PT205D1T0,PT131H2T1,UK012D1T0,PT221H1T0,PT118H1T0,UK028H1T0,PT024H2T0,PT051H2T0,PT118D1T1,PT120D2T1,UK038H1T0,PT205D1T1,PT019H1T0,PT120H2T1,UK047H1T0,PT017H1T0,PT052D1T0,UK005H1T0,PT026H1T0,PT051D5T0,PT118D1T0,PT050H1T0,PT205H2T1,UK033D1T0,PT053D1T0,UK020H1T0,UK005H2T0,UK008D1T0B,UK044D3T0,PT125H1T0,PT050D1T0B,PT046D1T0B,UK044H1T0,PT023D1T0
MEG_7497|Drugs|Glycopeptides|VanC-type_regulator|VANSC,0,0,0,0,0,84,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
MEG_3889|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,0,11,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,9,0
MEG_3144|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation,483,582,38,75,2477,2373,1996,0,2024,359,2402,23,416,2579,2005,2561,2377,1665,1433,1590,87,1539,2327,1837,330,717,1753,1245,1821,2564,2284,2495,1542,538,2251,0,1871,1223,0,86,2506,2572,2577,2481,251,0,36,577,2274,1961,2347,275,402,1172,61,678,2163,1070,817,109,2414,1267,2465,1357,785,188,2055,207,2608,2570,52,2311,633,2295,0,517,24,0,1612,1506,345,1043,2275,47,22,15,2513,2426,2376,2414,1073,127,2053,455,168,0,1656,161,1838,874,2022,974,0,351,2457,395,1391,2398,1150,194,268,505,2071,0,2081,83,2494,1123,2356,842,2117,2250,2542,1148,1591,2470,1882,1940,1167,2209,1316,57,94,2152,2226,70,112,0,2398,1038,2546,64,79,0,2213
MEG_7113|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,504,58,646,0,728,943,0,396,0,172,440,67,0,950,962,432,548,203,0,554,1254,247,1056,913,785,350,0,289,155,0,99,0,699,941,1332,1276,241,0,0,1708,732,0,64,1072,0,388,221,1361,931,921,395,1048,88,0,0,1745,320,516,557,0,997,119,254,257,0,103,0,0,743,98,0,0,548,0,179,950,930,366,0,0,0,0,0,0,0,880,93,90,142,1918,1208,1338,261,583,236,742,0,742,168,1094,420,0,457,0,0,0,0,804,772,172,0,109,202,271,308,0,62,0,0,1284,317,0,434,251,0,591,186,520,201,1325,0,115,342,0,0,498,0,0,0,1586,0,458,2171,365
MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,0,38,0,0,0,0,0,0,11,0,0,0,259,0,0,0,0,0,312,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,88,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,81,0,0,15,0,0,0,0,0,176,0,0,0,0,17,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,37,0,0,0,692,0,0,0,0,222,0,0,0,0,0,93,0,0,0,0,0,0,646,0,0,0,0
MEG_7428|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3866|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,75,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,138,0,0,0,0
MEG_1045|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,0,14,1165,519,0,0,1144,0,91,946,223,117,523,0,0,0,0,0,1185,0,33,1119,31,0,0,140,463,0,491,32,0,756,0,0,0,0,0,733,0,1280,396,0,391,573,0,829,0,0,32,0,47,0,267,667,0,0,0,0,368,594,322,1262,0,0,644,0,20,0,267,0,0,0,28,21,971,295,0,1110,0,24,38,206,1312,0,0,1145,669,134,299,307,10,56,80,14,285,0,122,44,0,0,51,17,0,63,1202,291,707,0,54,0,0,1067,0,74,90,0,667,577,1181,417,580,483,0,0,0,1148,0,0,1160,0,402,0,0,0,707,0,1186,18,0,0,316
MEG_3779|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7170|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,290,2620,1636,2427,0,2928,2490,563,2830,2231,2512,2263,2284,0,2265,584,420,2265,2694,2743,2740,2805,2482,385,2762,2363,2267,230,2705,2122,408,2882,2545,1557,2605,2703,2725,1369,0,314,0,2307,1031,2500,2639,2078,1042,2783,1823,2069,1932,2809,2935,2486,754,0,2325,2151,2677,2643,2631,2517,2027,2751,2357,2161,2721,2733,1628,0,1373,2663,600,0,0,2670,2781,2821,2268,2517,231,2212,2095,2011,593,1945,1762,2597,2433,2342,2627,2617,248,2834,2565,2840,2388,2067,2915,2693,1972,2572,0,1538,1540,220,273,2305,2675,2129,2393,2151,2710,0,2497,2380,2384,2624,2610,2191,2648,2520,0,2712,2736,2568,2675,2473,2847,2744,476,1735,2180,1713,1797,2582,2517,2663,681,1314,2264,1258,2484,2567,3022
MEG_6581|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,693,0,0,0,0,29,0,0,0,0,0,836,0,0,0,0,0,358,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,969,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,385,0,0,99,0,0,0,0,0,227,0,0,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,19,0,167,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,95,0,0,0,0
MEG_6288|Drugs|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2686|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0,20,0,0,515,508,385,0,203,0,493,0,0,655,220,669,558,172,153,251,0,218,447,224,0,53,261,76,275,658,360,592,118,0,406,0,352,82,0,0,587,670,775,591,21,0,0,53,454,247,581,15,22,130,0,0,334,101,75,0,564,103,585,176,93,0,439,0,716,688,0,444,38,475,0,78,0,0,130,90,16,84,440,0,0,0,681,529,496,571,113,0,280,41,0,0,203,0,285,0,234,54,0,10,585,26,89,534,65,0,0,33,433,0,473,0,566,163,381,73,313,424,561,93,119,675,247,287,178,282,136,0,0,331,400,0,0,0,537,93,614,0,0,0,292
MEG_973|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,540,0,0,0,0,216,0,0,0,0,0,576,0,17,0,764,0,151,0,0,289,0,0,859,36,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,49,0,766,0,0,82,0,0,10,0,0,41,0,0,0,0,0,0,0,0,0,47,0,35,0,0,0,0,473,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,831,0,0,49,0,0,0,0,42,0,408,0,608,0,328,0,168,0,69,0,68,0,0,0,0,246,99,0,121,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6891|Drugs|betalactams|Class_A_betalactamases|TEM,32,0,59,22,0,0,591,103,44,0,750,0,0,276,57,36,1354,0,74,87,0,0,271,0,0,0,0,45,48,585,0,0,31,0,0,64,0,0,26,0,0,190,0,31,65,0,35,0,47,0,387,0,54,125,34,0,0,35,0,70,0,0,0,64,0,0,0,59,17,548,0,302,67,446,68,29,0,0,91,97,0,17,240,45,28,46,559,260,26,797,135,0,147,0,0,0,48,22,101,0,80,0,0,0,0,0,0,0,123,46,0,0,0,0,30,82,0,67,0,0,164,0,493,76,161,63,0,76,36,39,43,32,0,0,161,0,42,37,0,0,471,0,0,220,32
MEG_6774|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7309|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,228,360,0,0,0,99,0,0,266,0,0,0,582,112,140,165,0,158,284,180,577,0,1534,0,0,0,0,0,0,0,0,0,143,65,0,0,0,348,0,0,0,0,0,736,0,0,85,0,0,1105,139,0,0,0,0,0,317,0,0,0,81,0,180,0,164,94,0,240,1110,0,0,0,0,0,146,209,74,49,121,0,207,0,0,0,0,0,297,213,967,146,575,0,0,195,0,0,243,227,0,0,311,147,0,251,0,116,0,0,0,135,238,68,0,0,176,0,0,201,779,0,185,411,173,151,0,266,0,400,208,189,103,0,0,110,0,0,395,188,79,0,1446,0,63,124,0
MEG_3833|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1943|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3558|Drugs|betalactams|Class_A_betalactamases|LEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0
MEG_2368|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_754|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7051|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0,0,0,0,0,0,0,0,0,0,655,0,0,1017,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,153,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,616,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,1110,0,0,0,235
MEG_6921|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
